Title,"Early Childhood Health, Development, and Nutrition Q&A (LMIC Settings)",,,,,,,,,
Version,2,,,,,,,,,
Date Updated,December 2025,,,,,,,,,
Compiled by,Healthcare Professional Expert in Early Child Development (0–5 yrs),,,,,,,,,
Sources,"WHO/UNICEF IMCI Guidelines, East Africa MoH Child Health Protocols, LMIC CHW Manuals",,,,,,,,,
Language,Neutral International English,,,,,,,,,
Formatting,"Bold headers, wrapped text, alternating row shading",,,,,,,,,
Use Case,"Parental education, CHW training, and app/database integration in LMIC settings",,,,,,,,,
,,,,,,,,,,
Age Group,Category,Question,LMIC Guidance for Community Health Workers' Assessment,Green (Normal),Yellow ( Monitor),Orange (Urgent),Red (Emergency),When to Go to Clinic (When the answer is either orange or red),LMIC Guidance (Parent-Friendly) (When the answer is yellow),Preventive Reminder (When the answer is either yellow or green)
0–6 months,Health,Does the infant have fever? For how long? Is the infant feeding normally?,Assess fever source and danger signs per IMCI; check temperature accurately. In malaria-risk areas test for malaria; consider serious bacterial infection in <2 months. Give paracetamol if indicated; refer urgently if young infant or danger signs.,No fever,"Mild fever (<38°C), feeding well, alert.","Fever 38–39°C, mild cough/diarrhea, feeding less but still drinks.","Fever ≥39°C, not feeding, convulsions, hard breathing, very sleepy.","Refer to a health facility if fever ≥38°C lasts >1 day, baby feeds poorly, or any danger sign appears. (those explained in the orange and red)",Advise caregiver to keep the baby lightly dressed and Advise caregiver to continue breastfeeding often. Give extra fluids only if advised for age. Refer to a health facility if fever continues or your baby becomes weak or very sleepy.,Ensure timely birth/6‑week vaccines; use insecticide-treated bed net in malaria areas.
0–6 months,Health,Is the infant coughing or breathing fast? Any chest indrawing or difficulty feeding?,Count respiratory rate; look for chest indrawing/stridor/wheeze per IMCI. Consider bronchiolitis/pneumonia/pertussis; give oxygen if hypoxic; start antibiotics if pneumonia suspected; refer if severe.,"Occassional cough, feeding well, no fast breathing","Mild cough/cold, no fast breathing.","Cough >2 weeks, feeding less, mild chest indrawing when crying.","Fast breathing, chest indrawing at rest, grunting, bluish lips, pauses in breathing.",Refer to a health facility if cough lasts >2 weeks or if breathing becomes fast or difficult.,Keep the baby away from smoke and dust. Breastfeed frequently and keep the nose clear. Go for a check if breathing seems fast or the cough does not improve.,"Avoid indoor smoke; ensure vaccines are up to date (e.g., PCV)."
0–6 months,Health,Is the infant having diarrhea? How many times per day? Any blood or signs of dehydration?,"Classify dehydration; give ORS per plan A/B; give zinc (10 mg/day if <6 months, 20mg/day if > 6 months) if policy allows; evaluate for sepsis in young infants; refer if severe dehydration or red flags.","Normal stool, drinks/feeds well, active",Loose stools <3/day,"Watery stool ≥3/day, fewer wet nappies, dry mouth, drinks eagerly.","Blood in stool, sunken eyes, very sleepy, drinks poorly or vomiting everything.","Refer to a health facility if there is blood in stool, signs of dehydration, or feeding is poor.",Advise caregiver to continue breastfeeding and give small frequent sips of oral rehydration solution (ORS) if advised. Offer zinc if provided by a health worker. Go for care if your baby becomes sleepy or passes very watery stool often.,Handwashing with soap; safe water preparation; keep ORS and zinc at home if available.
0–6 months,Health,Does the infant have a rash? When did it start? Is it spreading or associated with fever?,Differentiate benign rashes vs. infection/allergy; check for measles exposure and vaccine status; treat secondary infection; refer if extensive lesions or systemic illness.,"No rash, no fever, baby comfortable and playing","Mild heat rash, no fever, baby comfortable","Rash spreading, lasts >3 days, itchy, mild oozing.","Rash with high fever, non-blanchable rash, blisters/pus, swelling of face, or very sick baby.","Refer to a health facility if the rash is painful has pus, has blisters, or the baby has fever and seems unwell.",Keep the skin clean and dry; dress your baby in light cotton. Avoid new lotions if the skin reacts. Refer or advise caregiver to seek care if the rash worsens or baby develops fever.,Follow immunization schedule; avoid harsh soaps; keep nails short to reduce scratching.
0–6 months,Health,"Does the infant have redness, discharge, or swelling around the cord or eyes?",Assess for omphalitis/conjunctivitis; give systemic antibiotics for omphalitis; topical/systemic per protocol for neonatal conjunctivitis; evaluate for gonococcal/chlamydial infection; urgent referral if severe.,"Cord is clean and dry, no eye discharge","Little, sticky eye discharge first days.",Redness around cord stump or eyes with yellow discharge but baby well.,"Foul cord smell with redness spreading, fever, baby not feeding; severe eye swelling.",Refer to a health facility the same day for any cord/eye infection signs.,"Clean the cord dry (no powders/ointments unless advised). Wash hands before touching. If eyes are red with discharge, clean with clean water and Refer or advise caregiver to seek care.",Hand hygiene; dry cord care; avoid harmful substances on the cord.
0–6 months,Development,"Does the infant smile, coo, and respond to caregiver voices appropriately for age?",Screen hearing/vision; review caregiver–infant interaction; provide early stimulation guidance; refer for developmental/hearing assessment if red flags.,Smiles by ~6–8 weeks; coos by ~3 months; looks at faces.,Limited social smile by 3 months; little vocalization.,No response to faces/sound; no smile by 3 months.,,Refer to a health facility if there is no social smile or response to sound by 3 months.,"Talk, sing, and smile with your baby every day. Hold your baby close and look into their eyes during feeding and play.",Encourage daily responsive play; track milestones on the child health card.
0–6 months,Development,Does the infant hold the head steady and attempt to roll when on the tummy?,Assess tone and primitive reflexes; screen for CP/neuromuscular issues; coach caregivers on positioning; refer if abnormal neuro signs.,Holds head steady by ~4 months; rolls by ~4–6 months.,Poor head control by 4 months; not attempting to roll by 6 months.,Very floppy or very stiff; persistent head lag past 5–6 months.,,Refer to a health facility if head control is poor by 4–5 months or very stiff/floppy.,Give tummy time while the baby is awake and watched. Play on a mat and encourage reaching and turning.,Provide supervised tummy time; avoid prolonged device seating.
0–6 months,Development,Does the infant respond to your voice or startle to loud sounds?,Perform hearing screening if available; inquire about ear infections and family history; refer for audiology/ENT if concern.,Startles to loud sound; turns to voices by ~4–6 months.,Inconsistent response to sound; limited babbling by 6 months.,No reaction to loud sounds; no vocalization.,,Refer to a health facility if your baby does not react to loud sounds or voices.,Speak gently to your baby and use songs and simple words. Reduce loud background noise during play and feeding.,Avoid loud noise exposure; treat ear infections promptly.
0–6 months,Development,"Does the infant open and close hands, grasp objects, and bring hands to the mouth?",Check tone/asymmetry; screen for hemiparesis; provide early intervention/referral.,"Hands open/close, brings hands to mouth, grasps by ~3–4 months.",Persistent fisting after 4 months; uses one hand much more.,Very stiff hands/arms; no reaching by 6 months.,,Go for assessment if fists stay tightly closed after 4 months or no reaching by 6 months.,Offer simple toys to hold and bring to the mouth. Play gently with both hands to encourage movement.,Offer safe rattles and soft toys; vary sides when feeding/carrying.
0–6 months,Development,Is the infant alert during wake periods and easily roused for feeds?,"Evaluate for jaundice, bulging fontanelles, infection, hypoglycemia, dehydration in young infants; advise safe sleep practices; refer if lethargic.",Newborns sleep 14–17 hours/day in short blocks; wakes to feed.,,Very irritable or hard to console,"Very difficult to wake, poor feeding, limp.",Refer to a health facility if your baby is very sleepy and not feeding.,"Newborns need lots of sleep. Wake for feeds and keep a calm, regular routine.","Promote safe sleep (on back, firm surface, no soft bedding)."
0–6 months,Nutrition & Feeding,Is the infant breastfeeding on demand? How many feeds does the infant receive per day?,Support exclusive breastfeeding to 6 months; assess latch/position; manage mastitis; track growth; refer for lactation support if needed.,"On demand, about 8–12 times/day; baby gains weight and has wet nappies.",,Feeds <6 times/day; shallow latch; slow weight gain.,Not breastfeeding or refusing formula feeds; weight loss.,Refer to a health facility if the baby feeds poorly or is losing weight.,"Breastfeed whenever your baby wants, day and night. Check latch and hold the baby close. Ask for help if nipples are sore or baby seems unsatisfied.",Growth monitoring monthly; encourage skin‑to‑skin; avoid water/other foods.
0–6 months,Nutrition & Feeding,Does the infant spit up small amounts after feeding or vomit forcefully?,Differentiate GER vs. obstruction/infection; check hydration/weight; consider allergy if eczema/hematochezia; refer if red flags.,Occasional spitups; steady weight gain,Small spit-ups after feeds; steady weight gain,Frequent large spit-ups; back-arching; irritable; stagnating weight gain,"Green/bloody vomit, projectile vomiting, bilious vomiting, poor breast/formula-feeding.",Refer or advise caregiver to seek care urgently for green/bloody vomit or if baby seems very unwell.,"Keep baby upright after feeding and burp gently. Offer smaller, more frequent feeds if needed.",Avoid overfeeding; ensure safe preparation if expressed milk used.
0–6 months,Nutrition & Feeding,Is the infant receiving only breast milk or given formula top/ups?,Reinforce exclusive breastfeeding; counsel against teas/juices; assess hydration if diarrhea/fever.,No formula milk needed for top-up while exclusively feeding,Little formula required while exclusively breastfed.,Hot climate with fussiness but still feeding; consider counseling.,Refuses to breast/formula feed; signs of dehydration.,Refer to a health facility if baby shows dehydration or refuses feeds.,"Under 6 months, breast milk is enough. Extra water or juices are not needed and can be unsafe.",Promote safe water practices for caregivers; exclusive breastfeeding to 6 months.
0–6 months,Nutrition & Feeding,Does the infant refuse one breast or feed less on one side? Is there pain or discmfort during breastfeeding?,"Assess for latch, pain, oral thrush, ear pain; screen for torticollis; provide lactation support; treat underlying causes.",Breastfeeding comfortably on both breasts,Occasional preference; overall feeding well and gaining; mild nipple pain,Persistent refusal but takes the other side; moderate nipple pain; swelling and abnormal warmth of the breast; flattened nipples,"Refusal to breast feed from both nipples, severe nipple pain, obvious breast swelling, tenderness; abnormla nipple discharge",Go for assessment if refusal persists or baby is not gaining weight.,"Try different positions and start on the preferred breast, then switch. Feed in a quiet, calm place.","Check for oral thrush; encourage frequent, calm feeds; track weight."
0–6 months,Nutrition & Feeding,Has the infant gained weight steadily along the growth chart?,Plot weight-for-age; assess feeding technique and maternal well-being; screen for illness; manage undernutrition early; refer if red flags.,Steady weight gain along the growth chart; alert and active.,Weight gain slower than expected; misses feeds.,Weight loss or crossing down growth lines,Swelling/oedema/wasting,Refer to a health facility if weight gain is poor or weight is dropping.,Bring the child health card to each visit to check weight. Feed often and ask for help if feeding is difficult.,Monthly growth monitoring; maternal nutrition and hydration support.
,,,,,,,,,,
6–24 months,Health,Does the child have fever? For how long? Is the child drinking and playing normally?,"Use IMCI to assess fever source; test for malaria in endemic zones; check urine/ear/throat as indicated; manage with antipyretics, fluids; treat malaria or bacterial infection as per guidelines; refer if danger signs.","No fever, active/playful",Short fever with mild cold; active; drinking.,Fever ≥38°C for >24 hours; reduced play; decreased appetite.,"Very sleepy, convulsions, stiff neck, severe dehydration, or breathing difficulty.","Refer to a health facility if fever lasts >1 day, >38 , child is very sleepy, or has breathing problems.","Give plenty of fluids and Advise caregiver to continue breastfeeding/feeding. In malaria areas, a test at a health center helps find the cause. Go sooner if your child seems worse.",Use insecticide-treated nets nightly; ensure vaccinations up to date.
